customer_id,name,city,email,phone_number,loyalty_tier
C00001,Mr. Sean Moody II,Natalieberg,kelseyspence@example.com,555-566-7008x4023,Silver
C00002,Raymond Smith,Smithside,sphillips@example.net,(433)464-5171x7782,Gold
C00003,Linda Glass,Warrenshire,zjohnson@example.org,401-225-8108,Gold
C00004,Deborah Manning,West Juliaside,zthomas@example.com,+1-743-318-4449x602,Silver
C00005,Isaac Jones,North Davidshire,allisonrhonda@example.com,001-791-848-5517,Platinum
C00006,Krista Wong,Joneschester,greenmichael@example.net,918.672.5842x2108,Silver
C00007,Melissa Herring,Lake Christopherbury,fritzdeanna@example.org,+1-597-550-7037x56095,Gold
C00008,Howard Huff,Elaineport,cameronberry@example.com,+1-418-942-4195,Gold
C00009,Michael Obrien,Warnershire,thompsonralph@example.net,+1-684-445-1010x8597,Platinum
C00010,Alexander Jones,Williambury,johnsonstacey@example.org,885.738.5313x57738,Silver
C00011,Daniel Pena,Hansentown,rodriguezmatthew@example.net,(240)805-6689,Silver
C00012,Michael Davis,New Kristin,lisabray@example.org,001-786-231-0335,Bronze
C00013,Colleen Campos,Mccarthyton,mherrera@example.org,215-233-7940,Platinum
C00014,Christopher Romero,Port Brandi,stewartlisa@example.org,910-362-7267,Bronze
C00015,Karen Snyder,New Marymouth,ryanfoster@example.org,001-842-982-4402x341,Gold
C00016,Melanie Hoffman,Port Alexandria,lawrence24@example.com,001-461-542-7291x060,Gold
C00017,Karen Gould,Andrewhaven,helliott@example.org,001-251-882-7423,Gold
C00018,Donald Warren,Lake Brianastad,aguilarrobert@example.net,456.858.6289x4146,Bronze
C00019,Daniel Brown,East Kaitlin,christopher11@example.net,840-452-2930x467,Gold
C00020,Edwin Torres,East Jason,mitchelltimothy@example.org,(623)829-3920x68214,Platinum
C00021,Colleen Kennedy,North Richard,samuelmartinez@example.net,001-273-389-1289x002,Bronze
C00022,Mitchell Reynolds,East Mariah,dgraham@example.net,763.290.0129x78026,Silver
C00023,Debra Mack,Scottbury,pkelly@example.net,001-353-953-4282x892,Platinum
